data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 22:37,3 pokoje|rozkład|klimatyzacja|duży balkon,2800,https://www.otodom.pl/pl/oferta/3-pokoje-rozklad-klimatyzacja-duzy-balkon-ID4zXoR,NIE,1100,2,3,"ul. Krynicka, Wrocław",brak,miejskie,brak,do zamieszkania,60,2026-02-10
2026-02-07 22:37,PL/RU Apartament 2 p. | Balkon | Klima | Garderoba | Centrum | Garaż,2750,https://www.otodom.pl/pl/oferta/pl-ru-apartament-2-p-balkon-klima-garderoba-centrum-garaz-ID4zXpf,NIE,700,10,2,"ul. Legnicka, Wrocław",brak,miejskie,3300,do zamieszkania,40,2026-02-10
2026-02-07 22:37,Dla rodziny|miejsce postojowe|spokojna okolica,3100,https://www.otodom.pl/pl/oferta/dla-rodziny-miejsce-postojowe-spokojna-okolica-ID4zXoS,NIE,720,1,3,"ul. Wietrzna, Wrocław",brak,inne,brak,do zamieszkania,70,2026-02-10
2026-02-07 22:38,Stylowe 2-pokojowe mieszkanie w Wrocławiu,4200,https://www.otodom.pl/hpr/pl/oferta/stylowe-2-pokojowe-mieszkanie-w-wroclawiu-ID4xCbi,NIE,590,2,2,"pl. Solny, Wrocław",brak,miejskie,4300,do zamieszkania,48,2026-02-10
2026-02-07 22:38,Przytulne 2 pokojowe mieszkanie ul. Vivaldiego,2200,https://www.otodom.pl/pl/oferta/przytulne-2-pokojowe-mieszkanie-ul-vivaldiego-ID4tOWJ,NIE,1000,0,2,Wrocław,brak,kotłownia,3500,do zamieszkania,51,2026-02-10
2026-02-07 22:38,"Mieszkanie w centrum, Idealna dla pary lub singla",2200,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-idealna-dla-pary-lub-singla-ID4zXol,NIE,499,4,1,"ul. Tadeusza Kościuszki, Wrocław",brak,miejskie,brak,brak,33,2026-02-10
2026-02-07 22:38,Przestronne 3 pokojowe mieszkanie z balkonem,2800,https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-balkonem-ID4zKAo,NIE,1200,4,3,"ul. Żmigrodzka, Wrocław",brak,miejskie,2800,do zamieszkania,60,2026-02-10
2026-02-07 22:39,2-pok mieszkanie 50m2 z ogródkami ul. Drabika,2900,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-50m2-z-ogrodkami-ul-drabika-ID4zXmN,NIE,590,0,2,"Stanisława Drabika, Wrocław",2023,miejskie,brak,do zamieszkania,50,2026-02-10
2026-02-07 22:39,"Po remoncie, 2- pokojowe mieszkanie na wynajem Grabiszyn",3000,https://www.otodom.pl/pl/oferta/po-remoncie-2-pokojowe-mieszkanie-na-wynajem-grabiszyn-ID4zXm9,NIE,650,1,2,"ul. Inżynierska, Wrocław",2016,brak,3000,brak,49,2026-02-10
2026-02-07 22:39,Wyjątkowy apartament 3-pok - Jana Pawła II,5500,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-3-pok-jana-pawla-ii-ID4zXm7,NIE,0,4,3,Wrocław,brak,miejskie,brak,do zamieszkania,65,2026-02-10
2026-02-07 22:39,"Złotniki, ul. Małopolska, 2 pok. 40m2, garaż, garderoba",2400,https://www.otodom.pl/pl/oferta/zlotniki-ul-malopolska-2-pok-40m2-garaz-garderoba-ID4zXl0,NIE,680,2,2,"ul. Małopolska, Wrocław",2016,miejskie,3500,do zamieszkania,40.2,2026-02-10
2026-02-07 22:39,Przestronne mieszkanie z tarasem Sky Tower,14000,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-tarasem-sky-tower-ID4yEqY,NIE,3000,10,3,"ul. Szczęśliwa, Wrocław",2014,miejskie,brak,do zamieszkania,120,2026-02-10
2026-02-07 22:40,Wynajmę 3-pokojowe mieszkanie na Różance,3600,https://www.otodom.pl/pl/oferta/wynajme-3-pokojowe-mieszkanie-na-rozance-ID4nDje,NIE,700,5,3,"ul. Chorwacka, Wrocław",2023,miejskie,5000,do zamieszkania,57,2026-02-10
2026-02-07 22:40,"Jaracza 2-pokoje, wysoki standard, klimatyzacja 49,5 m²",3000,https://www.otodom.pl/pl/oferta/jaracza-2-pokoje-wysoki-standard-klimatyzacja-49-5-m-ID4zjpj,NIE,750,3,2,"ul. Stefana Jaracza, Wrocław",2015,miejskie,3200,do zamieszkania,50,2026-02-10
2026-02-07 22:40,PL_RU_3pokoje_Centrum_Braniborska_Garaż w cenie!_55 m²,4000,https://www.otodom.pl/pl/oferta/pl-ru-3pokoje-centrum-braniborska-garaz-w-cenie-55-m-ID4zXkp,NIE,1300,5,3,"ul. Trzemeska, Wrocław",2021,miejskie,5000,do zamieszkania,55,2026-02-10
