data_pobrania,tytul,cena,link,metraz,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-07 23:49,Wrocław-Krzyki | 66 m² | Taras,2800,https://www.otodom.pl/pl/oferta/wroclaw-krzyki-66-m-taras-ID4zF8o,,3000,1,3,"ul. Krzycka, Wrocław",2007,brak,5200,brak,66,2026-02-10
2026-02-07 23:49,Kawalerka z antresolą w centrum Wrocławia,2000,https://www.otodom.pl/pl/oferta/kawalerka-z-antresola-w-centrum-wroclawia-ID4ztq2,,255,1,1,"ul. Łąkowa, Wrocław",1960,electrical,2000,brak,20,2026-02-10
2026-02-07 23:49,"2 pokoje NOWE, wysoki standard, umeblowane, KLIMA",3600,https://www.otodom.pl/pl/oferta/2-pokoje-nowe-wysoki-standard-umeblowane-klima-ID4mcT0,,380,6,2,Wrocław,2021,gazowe,4000,do zamieszkania,41,2026-02-10
2026-02-07 23:49,"Apartament ul. Księcia Witolda, 3 pokoje, taras, garaż",6900,https://www.otodom.pl/pl/oferta/apartament-ul-ksiecia-witolda-3-pokoje-taras-garaz-ID4zn3z,,950,4,3,"ul. Księcia Witolda, Wrocław",brak,miejskie,10000,do zamieszkania,67,2026-02-10
2026-02-07 23:50,OD ZARAZ | PetsFriendly | BALKON | Olimpia Port | Parking za szlabanem,3100,https://www.otodom.pl/pl/oferta/od-zaraz-petsfriendly-balkon-olimpia-port-parking-za-szlabanem-ID4zOQA,,700,2,3,"ul. Chałupnicza, Wrocław",brak,miejskie,3100,do zamieszkania,50,2026-02-10
2026-02-07 23:50,"StareMiasto/KępaMieszczańska,2pok,balkon,4p,wyposażone,garaż,winda2025",2900,https://www.otodom.pl/pl/oferta/staremiasto-kepamieszczanska-2pok-balkon-4p-wyposazone-garaz-winda2025-ID4zOMA,,588,4,2,"ul. Mieszczańska, Wrocław",2025,miejskie,3500,do zamieszkania,36.83,2026-02-10
2026-02-07 23:50,Bulwar Staromiejski- nowoczesny apartament,4500,https://www.otodom.pl/pl/oferta/bulwar-staromiejski-nowoczesny-apartament-ID4xrYl,,1000,1,2,"pl. Jana Pawła II, Wrocław",brak,miejskie,brak,do zamieszkania,50,2026-02-10
2026-02-07 23:50,Do wynajęcia 4-pokojowe na Kowalach ul. Rakowa,6000,https://www.otodom.pl/pl/oferta/do-wynajecia-4-pokojowe-na-kowalach-ul-rakowa-ID4yjyk,,0,1,4,"ul. Rakowa, Wrocław",1985,gazowe,brak,do zamieszkania,103,2026-02-10
2026-02-07 23:50,Karłowice - Pokój do wynajęcia od zaraz !,1250,https://www.otodom.pl/pl/oferta/karlowice-pokoj-do-wynajecia-od-zaraz-ID4yjp3,,1,6,2,"ul. Rowerowa, Wrocław",brak,brak,1250,do zamieszkania,13,2026-02-10
2026-02-07 23:51,Mieszkanie do wynajęcia 42m2 2 pokoje. Wyposażone.,2700,https://www.otodom.pl/hpr/pl/oferta/mieszkanie-do-wynajecia-42m2-2-pokoje-wyposazone-ID4nIN6,,800,1,2,Wrocław,2019,kotłownia,4000,do zamieszkania,42,2026-02-10
