data_pobrania,tytul,cena,link,aneks,czynsz,pietro,pokoje,lokalizacja,rok_budowy,ogrzewanie,kaucja,stan,powierzchnia,data_aktualizacji
2026-02-14 08:43,"Piętro willi, Sołtysowice, 2800+liczniki 80mkw",2800,https://www.otodom.pl/pl/oferta/pietro-willi-soltysowice-2800-liczniki-80mkw-ID4y4hp,NIE,1,2,3,Wrocław,brak,gazowe,2800,brak,80,2026-02-14
2026-02-14 08:46,Wynajmę Przytulne mieszkanie 3 pokoje w CENTRUM WROCŁAWIA,2500,https://www.otodom.pl/pl/oferta/wynajme-przytulne-mieszkanie-3-pokoje-w-centrum-wroclawia-ID4A76o,NIE,750,0,3,"ul. Zielonogórska, Wrocław",1971,miejskie,2000,brak,51,2026-02-14
2026-02-14 08:49,PL/UA Rozkładowe 2 Pokoje | Centrum | Parking | WiFi | Od 08.03.,2999,https://www.otodom.pl/pl/oferta/pl-ua-rozkladowe-2-pokoje-centrum-parking-wifi-od-08-03-ID4A74n,NIE,854,3,2,"ul. Tadeusza Kościuszki, Wrocław",brak,miejskie,3000,brak,42,2026-02-14
2026-02-14 08:53,Nowe mieszkanie Centrum,3500,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-centrum-ID4A71F,TAK,0,5,2,"Aleja Kardynała Stefana Wyszyńskiego, Wrocław",2022,brak,0,brak,47.1,2026-02-14
2026-02-14 09:00,DO WYNAJĘCIA 2 POKOJOWE MIESZKANIE Z TARASEM  UL. WIETRZNA,2490,https://www.otodom.pl/pl/oferta/do-wynajecia-2-pokojowe-mieszkanie-z-tarasem-ul-wietrzna-ID4A70c,NIE,440,3,2,"ul. Wietrzna, Wrocław",2000,gazowe,2500,brak,40,2026-02-14
2026-02-14 09:03,Luksusowy apartament w OVO HILTON,3800,https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-ovo-hilton-ID4A6Ym,TAK,670,6,2,"ul. Podwale, Wrocław",2016,miejskie,4500,brak,45,2026-02-14
2026-02-14 09:04,Nowe dwupokojowe mieszkanie w świetnej lokalizacji,2500,https://www.otodom.pl/pl/oferta/nowe-dwupokojowe-mieszkanie-w-swietnej-lokalizacji-ID4A6Xf,TAK,550,1,2,"al. Śliwowa, Wrocław",2025,miejskie,3000,brak,37,2026-02-14
2026-02-14 09:06,Słoneczne mieszkanie w zielonej okolicy,3300,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-w-zielonej-okolicy-ID4xV4P,NIE,1500,1,3,"ul. Artura Młodnickiego, Wrocław",2002,miejskie,7000,brak,63,2026-02-14
2026-02-14 09:06,Do wynajęcia kawalerka położona przy ul. Gajowej / przy CH Wroclavia,1950,https://www.otodom.pl/pl/oferta/do-wynajecia-kawalerka-polozona-przy-ul-gajowej-przy-ch-wroclavia-ID4A6WL,TAK,450,3,1,"ul. Gajowa, Wrocław",brak,electrical,2750,brak,26,2026-02-14
2026-02-14 09:08,Super kawalerka ul. Legnicka Małopanewska Magnolia,2500,https://www.otodom.pl/pl/oferta/super-kawalerka-ul-legnicka-malopanewska-magnolia-ID3Sfwa,NIE,500,4,1,"ul. Małopanewska, Wrocław",brak,brak,2500,brak,32,2026-02-14
